N;AvoreAVL-Ordenada;AvoreAVL-Aleatoria;AvoreRubroNegra-Ordenada;AvoreRubroNegra-Aleatoria;ArvoreB-Ordenada-1;ArvoreB-Aleatoria-1;ArvoreB-Ordenada-5;ArvoreB-Aleatoria-5;ArvoreB-Ordenada-10;ArvoreB-Aleatoria-10;
1;1;1;0;0;3;3;3;3;3;3;
2;4;4;1;1;7;7;7;7;7;7;
3;11;13;5;7;14;14;12;12;12;12;
4;16;12;8;10;20;20;17;16;17;17;
5;25;27;13;12;30;30;23;22;23;22;
6;34;28;17;17;37;36;29;27;29;28;
7;43;34;23;19;50;42;35;34;35;34;
8;50;39;30;22;58;53;41;40;41;41;
9;61;47;36;26;70;64;48;46;48;48;
10;72;48;42;31;79;77;55;53;55;52;
11;83;80;49;38;95;81;64;62;62;56;
12;94;97;57;48;104;92;72;71;69;65;
13;105;107;64;51;117;106;80;75;76;72;
14;116;104;71;47;127;119;88;85;83;79;
15;127;108;79;58;146;134;97;94;90;87;
16;136;112;88;76;156;135;106;99;97;94;
17;149;142;96;76;170;144;118;110;105;99;
18;162;144;106;78;181;160;127;117;113;108;
19;175;160;114;86;199;168;136;125;121;114;
20;188;164;123;92;210;181;145;132;129;122;
21;201;180;131;97;225;196;155;148;139;131;
22;214;189;140;120;237;204;165;153;148;142;
23;227;179;149;111;259;224;178;165;157;149;
24;240;207;159;109;270;230;187;172;166;157;
25;253;223;168;118;285;245;196;178;175;164;
26;266;245;179;140;297;258;205;188;184;176;
27;279;253;188;131;316;281;215;201;193;184;
28;292;264;198;160;328;306;225;210;203;192;
29;305;292;207;134;344;298;238;218;213;201;
30;318;286;217;138;357;313;248;228;223;212;
31;331;292;227;148;382;322;258;235;233;220;
32;342;316;238;189;394;332;268;245;246;228;
33;357;325;248;173;410;346;279;251;256;239;
34;372;332;260;180;423;375;290;261;266;248;
35;387;363;270;200;443;384;304;277;276;255;
36;402;383;281;196;456;383;314;279;286;267;
37;417;372;291;181;473;422;324;297;296;271;
38;432;416;304;225;487;418;334;305;306;288;
39;447;423;314;227;511;446;345;310;317;299;
40;462;428;325;236;524;453;356;329;328;305;
41;477;428;335;242;541;456;370;334;339;309;
42;492;466;347;232;555;491;380;351;350;326;
43;507;487;357;249;576;494;390;342;364;334;
44;522;482;368;235;590;534;400;363;374;344;
45;537;474;378;266;608;527;411;379;384;354;
46;552;509;390;274;623;530;422;392;394;357;
47;567;550;401;284;651;531;436;398;404;371;
48;582;535;413;294;664;544;446;402;414;382;
49;597;579;424;292;681;600;456;416;424;391;
50;612;582;437;304;695;582;466;427;435;405;
51;627;573;448;315;716;587;477;429;446;411;
52;642;605;460;321;730;614;488;443;457;419;
53;657;612;471;304;748;644;502;452;468;442;
54;672;632;485;330;763;657;513;466;482;452;
55;687;617;496;327;788;672;524;480;493;453;
56;702;658;508;328;802;671;535;474;504;460;
57;717;675;519;365;820;704;547;496;515;473;
58;732;696;532;379;835;712;559;506;526;483;
59;747;690;543;353;857;719;574;513;537;495;
60;762;656;555;379;872;724;585;524;548;502;
61;777;742;566;382;891;767;596;535;560;515;
62;792;757;579;380;907;782;607;543;572;519;
63;807;760;591;400;938;796;619;554;584;528;
64;820;759;604;379;952;829;631;575;596;538;
65;837;792;616;394;970;800;646;579;611;551;
66;854;845;630;386;985;842;657;592;622;559;
67;871;847;642;420;1007;863;668;602;633;569;
68;888;834;655;418;1022;866;679;604;644;580;
69;905;822;667;441;1041;895;691;634;655;596;
70;922;850;682;464;1057;920;703;640;666;615;
71;939;889;694;450;1083;911;720;633;677;616;
72;956;905;707;505;1098;912;732;654;689;627;
73;973;968;719;496;1117;954;744;669;701;648;
74;990;958;733;507;1133;952;756;680;713;649;
75;1007;948;745;490;1156;977;769;682;725;665;
76;1024;956;758;493;1172;1005;782;687;740;665;
77;1041;956;770;500;1192;1005;798;710;751;674;
78;1058;991;786;510;1209;1023;810;717;762;712;
79;1075;1029;798;501;1239;1048;822;733;773;698;
80;1092;978;811;515;1254;1072;834;741;784;713;
81;1109;1003;823;544;1273;1059;847;758;795;719;
82;1126;1047;837;564;1289;1087;860;752;806;739;
83;1143;1066;849;580;1312;1097;876;761;818;740;
84;1160;1049;862;579;1328;1114;888;785;830;757;
85;1177;1054;874;573;1348;1154;900;791;842;767;
86;1194;1050;889;586;1365;1107;912;825;854;781;
87;1211;1127;901;613;1392;1211;925;818;869;792;
88;1228;1088;914;610;1408;1182;938;819;880;805;
89;1245;1164;926;598;1428;1210;954;835;891;811;
90;1262;1193;940;615;1445;1230;967;842;902;822;
91;1279;1168;952;646;1469;1247;980;851;913;844;
92;1296;1235;965;629;1486;1223;993;866;924;841;
93;1313;1211;977;647;1507;1275;1007;876;935;843;
94;1330;1237;992;665;1525;1255;1021;904;947;868;
95;1347;1275;1005;677;1559;1285;1038;901;959;873;
96;1364;1262;1019;652;1574;1292;1051;920;971;901;
97;1381;1290;1032;662;1593;1327;1064;952;983;892;
98;1398;1326;1047;682;1609;1314;1077;953;998;917;
99;1415;1356;1060;699;1632;1349;1091;958;1010;923;
100;1432;1329;1074;711;1648;1370;1105;965;1022;922;
